Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.23203539848327637,0.23950672149658203,0.0016510486602783203,0.003190755844116211
20000,0.4957573413848877,0.7454476356506348,0.002641916275024414,0.007734775543212891
30000,3.2906341552734375,0.794417142868042,0.003681659698486328,0.01106572151184082
40000,1.1772303581237793,1.5132842063903809,0.004434347152709961,0.014653444290161133
50000,1.6516790390014648,1.3854312896728516,0.0050830841064453125,0.017388343811035156
60000,1.9374418258666992,1.607649564743042,0.006152153015136719,0.02135181427001953
70000,2.3054404258728027,1.9083976745605469,0.006573677062988281,0.027509450912475586
80000,2.407613754272461,3.126011371612549,0.0071561336517333984,0.032834768295288086
90000,2.9923672676086426,2.5977976322174072,0.007904291152954102,0.03375244140625
100000,3.3373148441314697,5.219263792037964,0.008604764938354492,0.03645944595336914
