Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.173353910446167,0.20038676261901855,0.006186723709106445,0.0035026073455810547
20000,0.6865851879119873,0.7244513034820557,0.009039878845214844,0.006975650787353516
30000,1.072727918624878,1.4706182479858398,0.017946958541870117,0.010273933410644531
40000,1.5005154609680176,1.5578045845031738,0.018204212188720703,0.013137340545654297
50000,1.9422805309295654,3.448641777038574,0.023186922073364258,0.01637887954711914
60000,2.951606273651123,2.4052634239196777,0.027430295944213867,0.019255399703979492
70000,2.8161120414733887,2.8242452144622803,0.03197455406188965,0.02210259437561035
80000,3.2626113891601562,3.5125198364257812,0.03763008117675781,0.026398420333862305
90000,3.7594311237335205,3.6630568504333496,0.040512800216674805,0.029584169387817383
100000,3.9154748916625977,7.3472912311553955,0.04410123825073242,0.03353071212768555
