Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.11211061477661133,0.1526813507080078,0.0033864974975585938,0.011699438095092773
20000,0.3916206359863281,0.7813923358917236,0.005846977233886719,0.022913217544555664
30000,0.9079685211181641,0.8667418956756592,0.007318973541259766,0.03315424919128418
40000,1.2110393047332764,1.1417386531829834,0.013380289077758789,0.04468345642089844
50000,2.0546669960021973,1.5569658279418945,0.013008356094360352,0.05616903305053711
60000,1.9407234191894531,1.7898542881011963,0.013591289520263672,0.0724172592163086
70000,2.209907293319702,2.8333394527435303,0.01585674285888672,0.08200669288635254
80000,2.7379467487335205,2.539710283279419,0.018360614776611328,0.09292268753051758
90000,5.61253023147583,2.9682040214538574,0.01983642578125,0.10465359687805176
100000,3.4261038303375244,4.401750802993774,0.022579431533813477,0.11072707176208496
