Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.14434242248535156,0.15352535247802734,9.059906005859375e-05,3.0279159545898438e-05
20000,0.2952399253845215,0.3311619758605957,0.0001494884490966797,8.082389831542969e-05
30000,1.1863245964050293,0.8184645175933838,0.00014209747314453125,8.559226989746094e-05
40000,1.3533859252929688,1.1531639099121094,0.000186920166015625,9.512901306152344e-05
50000,1.7942826747894287,1.4355363845825195,0.0001633167266845703,9.179115295410156e-05
60000,2.1690421104431152,1.7317452430725098,0.00016951560974121094,9.5367431640625e-05
70000,3.249246597290039,1.3969080448150635,0.00019073486328125,5.555152893066406e-05
80000,3.618344306945801,4.662822484970093,0.0002079010009765625,9.751319885253906e-05
90000,3.4667458534240723,2.65273380279541,0.00017023086547851562,9.584426879882812e-05
100000,3.796617269515991,2.993363380432129,0.00018358230590820312,9.179115295410156e-05
