Liczba punktów,Liczba wymiarów,KDTree Build [s],KDTree Search [s]
1000,2,0.01723504066467285,0.0006887912750244141
1000,7,0.024732351303100586,0.0027523040771484375
1000,12,0.035698890686035156,0.004254341125488281
1000,17,0.04279780387878418,0.004132270812988281
1000,22,0.05347084999084473,0.00493311882019043
1000,27,0.06367111206054688,0.005305767059326172
1000,32,0.08697319030761719,0.007003307342529297
1000,37,0.08349180221557617,0.007265329360961914
1000,42,0.09377884864807129,0.008102178573608398
1000,47,0.10135340690612793,0.00824427604675293
