Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.14664435386657715,0.16375064849853516,0.004987478256225586,0.018253087997436523
20000,0.7873625755310059,0.5863852500915527,0.009803056716918945,0.04031848907470703
30000,1.0123369693756104,0.813417911529541,0.012455940246582031,0.06090712547302246
40000,1.68060302734375,1.1520514488220215,0.015854358673095703,0.0858466625213623
50000,1.7542262077331543,1.492476224899292,0.019870758056640625,0.102569580078125
60000,2.69648814201355,1.787421464920044,0.022377490997314453,0.12188363075256348
70000,2.539811372756958,2.0398783683776855,0.023929595947265625,0.14150381088256836
80000,3.0004210472106934,2.3881680965423584,0.030991792678833008,0.16221046447753906
90000,3.4632232189178467,5.18867039680481,0.034209251403808594,0.18990683555603027
100000,3.967132806777954,3.091582775115967,0.037270545959472656,0.19797754287719727
