Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.14439749717712402,0.16466784477233887,6.9141387939453125e-06,3.5762786865234375e-06
20000,0.31368041038513184,0.5514547824859619,0.0001423358917236328,6.175041198730469e-05
30000,1.213348388671875,0.8509790897369385,2.193450927734375e-05,1.430511474609375e-05
40000,1.3399326801300049,1.151582956314087,0.0001666545867919922,6.651878356933594e-05
50000,2.2042059898376465,1.524198055267334,0.00015211105346679688,6.937980651855469e-05
60000,2.343318223953247,2.026013135910034,0.000209808349609375,6.818771362304688e-05
70000,2.7783117294311523,4.692892074584961,0.0001983642578125,6.67572021484375e-05
80000,3.9050447940826416,1.6033189296722412,0.00016617774963378906,6.461143493652344e-05
90000,4.01473331451416,2.6781890392303467,0.00020956993103027344,6.67572021484375e-05
100000,3.7365384101867676,3.148423671722412,0.00020742416381835938,7.224082946777344e-05
