Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.1899712085723877,0.3144409656524658,0.003783702850341797,0.0033729076385498047
20000,0.5492017269134521,0.9218816757202148,0.007186412811279297,0.00602412223815918
30000,0.9542577266693115,0.9649348258972168,0.011486530303955078,0.00931692123413086
40000,1.2756977081298828,2.236098527908325,0.014969110488891602,0.011698722839355469
50000,1.7655713558197021,1.7169201374053955,0.01875615119934082,0.014901399612426758
60000,2.1195616722106934,2.2031376361846924,0.023902177810668945,0.019237279891967773
70000,3.1858222484588623,2.9516124725341797,0.028044462203979492,0.024317026138305664
80000,5.468019008636475,4.03178858757019,0.035246849060058594,0.025696754455566406
90000,2.4037864208221436,5.305861234664917,0.03605246543884277,0.028171062469482422
100000,3.80958890914917,3.9058830738067627,0.04124021530151367,0.032700300216674805
