Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10050,0.13881993293762207,0.15610074996948242,6.914138793945312e-05,4.363059997558594e-05
20050,0.2851862907409668,0.3390347957611084,7.677078247070312e-05,7.748603820800781e-05
30050,1.767181634902954,0.5035922527313232,8.940696716308594e-05,4.9114227294921875e-05
40050,1.9426448345184326,0.7298762798309326,0.00013709068298339844,8.654594421386719e-05
50050,2.1802730560302734,0.9134759902954102,0.00010228157043457031,0.00010156631469726562
60050,2.4221301078796387,2.6180620193481445,0.00011777877807617188,6.175041198730469e-05
70050,2.782672882080078,1.2923915386199951,0.00010514259338378906,8.273124694824219e-05
80050,2.938115119934082,1.4904253482818604,0.00010895729064941406,9.703636169433594e-05
90050,4.968474864959717,1.7011339664459229,0.00012946128845214844,7.104873657226562e-05
100050,3.4421961307525635,3.7289187908172607,0.00011396408081054688,9.369850158691406e-05
