Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.5680067539215088,0.12953710556030273,0.001275777816772461,0.006135225296020508
20000,0.7687439918518066,0.2903177738189697,0.0024480819702148438,0.013710975646972656
30000,0.9875216484069824,1.0033512115478516,0.0031290054321289062,0.0199124813079834
40000,1.2478442192077637,1.2589929103851318,0.005822658538818359,0.027259349822998047
50000,1.4976060390472412,1.4568889141082764,0.005753517150878906,0.0351252555847168
60000,1.7479560375213623,1.6701972484588623,0.006949424743652344,0.04184770584106445
70000,1.8944604396820068,1.8495590686798096,0.00772857666015625,0.05001258850097656
80000,3.2331368923187256,1.1621286869049072,0.008634567260742188,0.05752682685852051
90000,3.4156486988067627,2.3672831058502197,0.009465694427490234,0.0672767162322998
100000,2.6944732666015625,2.5628159046173096,0.011823892593383789,0.07405543327331543
