Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.14825105667114258,0.1473093032836914,6.9141387939453125e-06,4.5299530029296875e-06
20000,0.26471662521362305,1.6992762088775635,8.916854858398438e-05,4.291534423828125e-05
30000,0.4452395439147949,0.48661184310913086,0.0001201629638671875,4.00543212890625e-05
40000,1.9729797840118408,0.6709282398223877,0.00013566017150878906,4.076957702636719e-05
50000,2.1993863582611084,2.2978708744049072,0.00012159347534179688,3.814697265625e-05
60000,0.9108278751373291,2.478618621826172,0.00010395050048828125,4.291534423828125e-05
70000,2.735117197036743,1.1865348815917969,0.00014591217041015625,4.267692565917969e-05
80000,2.8723397254943848,3.062842845916748,0.00011730194091796875,4.410743713378906e-05
90000,3.2708752155303955,1.5620415210723877,0.0001125335693359375,4.220008850097656e-05
100000,5.33622407913208,1.7793209552764893,0.0001125335693359375,4.506111145019531e-05
