Liczba punktów,Liczba wymiarów,KDTree Build [s],KDTree Search [s]
1000,2,0.023814916610717773,0.0007541179656982422
1000,7,0.10899758338928223,0.003800630569458008
1000,12,0.05719923973083496,0.005709648132324219
1000,17,0.07268476486206055,0.006135463714599609
1000,22,0.0901024341583252,0.00702977180480957
1000,27,0.10337042808532715,0.007895708084106445
1000,32,0.12085175514221191,0.008497238159179688
1000,37,0.1958627700805664,0.009278535842895508
1000,42,0.15303754806518555,0.010725736618041992
1000,47,0.16692090034484863,0.011914491653442383
