Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.14127564430236816,0.13736271858215332,7.200241088867188e-05,3.886222839355469e-05
20000,0.2938833236694336,0.2929356098175049,9.226799011230469e-05,3.5762786865234375e-05
30000,0.4463486671447754,3.4245011806488037,0.00012350082397460938,5.340576171875e-05
40000,0.5271956920623779,1.9412930011749268,0.0001506805419921875,4.4345855712890625e-05
50000,0.6939079761505127,2.2594757080078125,0.00013256072998046875,7.009506225585938e-05
60000,2.4585750102996826,0.9911365509033203,0.0001227855682373047,4.935264587402344e-05
70000,2.62038254737854,1.1617989540100098,0.00011920928955078125,5.125999450683594e-05
80000,4.711517572402954,1.3538460731506348,0.00013589859008789062,5.936622619628906e-05
90000,3.211411476135254,3.261132001876831,0.00013256072998046875,8.296966552734375e-05
100000,3.551224946975708,1.7098207473754883,0.00012826919555664062,8.7738037109375e-05
