Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.13544464111328125,0.1666257381439209,0.0045261383056640625,0.0022776126861572266
20000,0.7705948352813721,0.9065721035003662,0.008200645446777344,0.004621267318725586
30000,1.0219120979309082,0.5992171764373779,0.009450197219848633,0.007251262664794922
40000,1.225964069366455,1.479116678237915,0.013116121292114258,0.009481191635131836
50000,2.305053472518921,1.06925630569458,0.023351430892944336,0.011408805847167969
60000,2.545691728591919,1.2656240463256836,0.025524377822875977,0.01395559310913086
70000,2.7354185581207275,2.301753520965576,0.022160053253173828,0.016068696975708008
80000,2.0936858654022217,2.5759847164154053,0.0323331356048584,0.017937421798706055
90000,2.3468129634857178,2.87849760055542,0.03772568702697754,0.021548032760620117
100000,3.7294602394104004,3.2366061210632324,0.04253530502319336,0.023916959762573242
