Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.1207115650177002,0.11396002769470215,0.003155946731567383,0.012555122375488281
20000,0.25341272354125977,0.2483997344970703,0.00587773323059082,0.02930736541748047
30000,1.0032143592834473,0.6073582172393799,0.008039236068725586,0.043810129165649414
40000,1.1252174377441406,0.8486728668212891,0.01035451889038086,0.05846261978149414
50000,1.45589017868042,1.0680267810821533,0.019367456436157227,0.07611703872680664
60000,1.746619701385498,1.8766264915466309,0.01634812355041504,0.09089183807373047
70000,2.1951184272766113,1.6710178852081299,0.0195925235748291,0.10496377944946289
80000,2.537555694580078,1.9498789310455322,0.024860620498657227,0.12375354766845703
90000,2.9206700325012207,2.2000184059143066,0.026866436004638672,0.13895463943481445
100000,3.307830333709717,1.7112033367156982,0.02976679801940918,0.15915203094482422
